trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
420,False,"{'a': 0.6, 'e': 0.0002065150899616564}",25,12,25.176015780576137,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
421,False,"{'a': 0.6, 'e': 0.00020238478816242324}",20,3,28.48942235877537,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
422,False,"{'a': 0.6, 'e': 0.00019833709239917477}",20,11,15.013419423519125,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
423,False,"{'a': 0.6, 'e': 0.0001943703505511913}",25,5,21.269514257571352,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",1
424,False,"{'a': 0.6, 'e': 0.00019048294354016745}",25,14,21.615237774985857,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
425,False,"{'a': 0.6, 'e': 0.0001866732846693641}",25,7,26.993786571741662,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
426,False,"{'a': 0.6, 'e': 0.00018293981897597682}",35,9,37.50948146027803,"{0: 26, 1: 0, 2: 0, 3: 0, 4: 0}",1
427,False,"{'a': 0.6, 'e': 0.00017928102259645728}",20,5,23.922987323070455,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
428,False,"{'a': 0.6, 'e': 0.00017569540214452812}",20,0,25.452740856904587,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
429,False,"{'a': 0.6, 'e': 0.00017218149410163757}",20,8,17.891282068722493,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
430,False,"{'a': 0.6, 'e': 0.0001687378642196048}",20,13,-0.3416630652916668,"{0: 6, 1: 0, 2: 1, 3: 0, 4: 0}",1
431,False,"{'a': 0.6, 'e': 0.00016536310693521271}",30,7,37.93155314748561,"{0: 23, 1: 0, 2: 0, 3: 0, 4: 0}",1
432,False,"{'a': 0.6, 'e': 0.00016205584479650844}",20,1,30.063953508150068,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 0}",1
433,False,"{'a': 0.6, 'e': 0.0001588147279005783}",20,0,22.70557139113583,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
434,False,"{'a': 0.6, 'e': 0.0001556384333425667}",30,14,32.00695467900282,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
435,False,"{'a': 0.6, 'e': 0.00015252566467571538}",25,13,22.501239109751097,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
436,False,"{'a': 0.6, 'e': 0.00014947515138220106}",20,0,30.428681856841028,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
437,False,"{'a': 0.6, 'e': 0.00014648564835455704}",25,0,35.33092052548628,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
438,False,"{'a': 0.6, 'e': 0.0001435559353874659}",20,14,11.654782823384764,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
439,False,"{'a': 0.6, 'e': 0.00014068481667971658}",25,13,24.157073661469877,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
440,False,"{'a': 0.6, 'e': 0.00013787112034612225}",20,12,11.346381849486708,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
441,False,"{'a': 0.6, 'e': 0.0001351136979391998}",25,19,8.89357634792166,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
442,False,"{'a': 0.6, 'e': 0.0001324114239804158}",20,6,29.792490223750214,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
443,False,"{'a': 0.6, 'e': 0.0001297631955008075}",20,0,32.61552513752718,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
444,False,"{'a': 0.6, 'e': 0.00012716793159079132}",30,17,22.241420092723885,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
445,False,"{'a': 0.6, 'e': 0.0001246245729589755}",25,3,34.59496563221985,"{0: 22, 1: 0, 2: 0, 3: 0, 4: 0}",1
446,False,"{'a': 0.6, 'e': 0.00012213208149979598}",25,11,26.334018359464363,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
447,False,"{'a': 0.6, 'e': 0.00011968943986980006}",25,15,19.989726057386875,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
448,False,"{'a': 0.6, 'e': 0.00011729565107240406}",30,10,34.54884315395661,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
449,False,"{'a': 0.6, 'e': 0.00011494973805095598}",20,0,29.469485495123777,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
450,False,"{'a': 0.6, 'e': 0.00011265074328993686}",30,4,42.025112504700964,"{0: 26, 1: 0, 2: 0, 3: 0, 4: 0}",1
451,False,"{'a': 0.6, 'e': 0.00011039772842413811}",20,11,15.719366577403873,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
452,False,"{'a': 0.6, 'e': 0.00010818977385565535}",30,16,25.04978656776558,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
453,False,"{'a': 0.6, 'e': 0.00010602597837854225}",20,0,30.671111732776225,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
454,False,"{'a': 0.6, 'e': 0.0001039054588109714}",25,6,28.733364959171517,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 0}",1
455,False,"{'a': 0.6, 'e': 0.00010182734963475196}",20,0,10.556488702250503,"{0: 19, 1: 0, 2: 0, 3: 1, 4: 0}",1
456,False,"{'a': 0.6, 'e': 9.979080264205692e-05}",20,12,15.614779943958897,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
457,False,"{'a': 0.6, 'e': 9.779498658921578e-05}",20,4,30.590030434977713,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
458,False,"{'a': 0.6, 'e': 9.583908685743147e-05}",25,11,23.569868832482584,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
459,False,"{'a': 0.6, 'e': 9.392230512028284e-05}",30,16,26.684597846640504,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
460,False,"{'a': 0.6, 'e': 9.204385901787718e-05}",25,20,9.41732068317048,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
461,False,"{'a': 0.6, 'e': 9.020298183751963e-05}",20,3,-15.422765106965784,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 1}",1
462,False,"{'a': 0.6, 'e': 8.839892220076924e-05}",20,0,27.46920390733234,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
463,False,"{'a': 0.6, 'e': 8.663094375675385e-05}",25,17,15.017933509266268,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
464,False,"{'a': 0.6, 'e': 8.489832488161877e-05}",20,9,21.353332768181946,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
465,False,"{'a': 0.6, 'e': 8.32003583839864e-05}",20,2,30.08644341169515,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
466,False,"{'a': 0.6, 'e': 8.153635121630666e-05}",30,19,18.251172187256014,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
467,False,"{'a': 0.6, 'e': 7.990562419198053e-05}",20,0,29.33075121444668,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
468,False,"{'a': 0.6, 'e': 7.830751170814091e-05}",20,11,15.321760542002664,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
469,False,"{'a': 0.6, 'e': 7.67413614739781e-05}",30,19,19.881739843748477,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
470,False,"{'a': 0.6, 'e': 7.520653424449853e-05}",30,16,21.337002912564103,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
471,False,"{'a': 0.6, 'e': 7.370240355960856e-05}",20,4,4.882572519079426,"{0: 15, 1: 0, 2: 0, 3: 1, 4: 0}",1
472,False,"{'a': 0.6, 'e': 7.222835548841639e-05}",25,0,36.312338937992905,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
473,False,"{'a': 0.6, 'e': 7.078378837864807e-05}",25,4,34.945266895133315,"{0: 21, 1: 0, 2: 0, 3: 0, 4: 0}",1
